,drug,CYP_l,CYP1A2_l,CYP3A4_l,CYP2C8_l,CYP2C9_l,cytochrome,CYP1A2,CYP3A4,CYP2C8,CYP2C9,year,count_pubmed,count_name,CYP1A2_norm_cyt,CYP1A2_norm_name,CYP1A2_norm_pubmed,CYP3A4_norm_cyt,CYP3A4_norm_name,CYP3A4_norm_pubmed,CYP2C8_norm_cyt,CYP2C8_norm_name,CYP2C8_norm_pubmed,CYP2C9_norm_cyt,CYP2C9_norm_name,CYP2C9_norm_pubmed,pubmed_count_full
385,CYCLOCUMAROL,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,2.0,5.0,1984.0,5.0,118.0,0.5,0.025423728813559324,0.6,0.6666666666666666,0.03389830508474576,0.8,0.3333333333333333,0.01694915254237288,0.4,0.8333333333333334,0.0423728813559322,1.0,118.0
386,CYCLOPENTAMINE,0.0,0.0,0.0,0.0,0.0,44.0,3.0,19.0,1.0,4.0,1971.0,2.0,325.0,0.06818181818181818,0.009230769230769232,1.5,0.4318181818181818,0.05846153846153846,9.5,0.022727272727272728,0.003076923076923077,0.5,0.09090909090909091,0.012307692307692308,2.0,325.0
387,DIHYDRO-.ALPHA.-ERGOCRYPTINE,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1978.0,16.0,43.0,0.3333333333333333,0.023255813953488372,0.0625,1.0,0.06976744186046512,0.1875,0.3333333333333333,0.023255813953488372,0.0625,0.3333333333333333,0.023255813953488372,0.0625,43.0
388,BENZOQUINONIUM,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,1.0,0.0,1958.0,28.0,590.0,0.0,0.0,0.0,0.037037037037037035,0.001694915254237288,0.03571428571428571,0.037037037037037035,0.001694915254237288,0.03571428571428571,0.0,0.0,0.0,590.0
389,METHANTHELINE,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1952.0,30.0,1360.0,0.0,0.0,0.0,0.1,0.0007352941176470588,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1360.0
390,DIPHEMANIL,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,1969.0,28.0,407.0,0.0,0.0,0.0,0.3,0.007371007371007371,0.10714285714285714,0.1,0.002457002457002457,0.03571428571428571,0.0,0.0,0.0,407.0
391,MEPARFYNOL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1957.0,17.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
392,DIMETHISOQUIN,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,1974.0,7.0,221.0,0.5,0.00904977375565611,0.2857142857142857,0.5,0.00904977375565611,0.2857142857142857,0.0,0.0,0.0,0.25,0.004524886877828055,0.14285714285714285,221.0
393,AMINOBENZOIC ACID,0.0,0.0,0.0,0.0,0.0,7210.0,456.0,1060.0,161.0,297.0,1941.0,3096.0,109000.0,0.06324549237170596,0.00418348623853211,0.14728682170542637,0.14701803051317613,0.009724770642201834,0.3423772609819121,0.02233009708737864,0.0014770642201834862,0.052002583979328165,0.04119278779472954,0.0027247706422018347,0.09593023255813954,109000.0
394,METHYLHEXANEAMINE,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,0.0,1.0,2011.0,17.0,314.0,0.3,0.009554140127388535,0.17647058823529413,0.4,0.012738853503184714,0.23529411764705882,0.0,0.0,0.0,0.1,0.0031847133757961785,0.058823529411764705,314.0
395,PENTAQUINE,0.0,0.0,0.0,0.0,0.0,69.0,6.0,21.0,4.0,7.0,1974.0,10.0,947.0,0.08695652173913043,0.006335797254487857,0.6,0.30434782608695654,0.022175290390707498,2.1,0.057971014492753624,0.004223864836325237,0.4,0.10144927536231885,0.007391763463569166,0.7,947.0
397,ISOMETHEPTENE,0.0,0.0,0.0,0.0,0.0,42.0,13.0,26.0,2.0,10.0,1977.0,33.0,1460.0,0.30952380952380953,0.008904109589041096,0.3939393939393939,0.6190476190476191,0.01780821917808219,0.7878787878787878,0.047619047619047616,0.0013698630136986301,0.06060606060606061,0.23809523809523808,0.00684931506849315,0.30303030303030304,1460.0
398,PYRITHYLDIONE,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1976.0,17.0,222.0,0.0,0.0,0.0,0.2,0.0045045045045045045,0.058823529411764705,0.0,0.0,0.0,0.2,0.0045045045045045045,0.058823529411764705,222.0
399,MEPHENESIN,0.0,0.0,0.0,0.0,0.0,66.0,3.0,14.0,1.0,1.0,1950.0,107.0,3550.0,0.045454545454545456,0.0008450704225352113,0.028037383177570093,0.21212121212121213,0.003943661971830986,0.1308411214953271,0.015151515151515152,0.00028169014084507044,0.009345794392523364,0.015151515151515152,0.00028169014084507044,0.009345794392523364,3550.0
400,MEPHENESIN ,0.0,0.0,0.0,0.0,0.0,66.0,3.0,14.0,1.0,1.0,1950.0,107.0,3550.0,0.045454545454545456,0.0008450704225352113,0.028037383177570093,0.21212121212121213,0.003943661971830986,0.1308411214953271,0.015151515151515152,0.00028169014084507044,0.009345794392523364,0.015151515151515152,0.00028169014084507044,0.009345794392523364,3550.0
401,TRIPELENNAMINE ,0.0,0.0,0.0,0.0,0.0,232.0,59.0,118.0,31.0,59.0,1950.0,307.0,5050.0,0.2543103448275862,0.011683168316831683,0.19218241042345277,0.5086206896551724,0.023366336633663366,0.38436482084690554,0.1336206896551724,0.006138613861386139,0.10097719869706841,0.2543103448275862,0.011683168316831683,0.19218241042345277,5050.0
402,TOLAZOLINE,0.0,0.0,0.0,0.0,0.0,210.0,12.0,43.0,2.0,18.0,1958.0,697.0,12200.0,0.05714285714285714,0.0009836065573770492,0.01721664275466284,0.20476190476190476,0.003524590163934426,0.06169296987087518,0.009523809523809525,0.0001639344262295082,0.0028694404591104736,0.08571428571428572,0.0014754098360655738,0.02582496413199426,12200.0
403,DIHYDROSTREPTOMYCIN PANTOTHENATE,0.0,0.0,0.0,0.0,0.0,1090.0,32.0,124.0,11.0,31.0,0.0,0.0,424.0,0.029357798165137616,0.07547169811320754,inf,0.11376146788990826,0.29245283018867924,inf,0.010091743119266056,0.025943396226415096,inf,0.028440366972477066,0.07311320754716981,inf,424.0
404,CHLOROTHEN CITRATE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1983.0,3.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
405,"3,5-DIBROMOSALICYLALDEHYDE",0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,2005.0,11.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0
406,TETRAETHYLAMMONIUM,0.0,0.0,0.0,0.0,0.0,3260.0,331.0,1960.0,169.0,774.0,1950.0,8369.0,79700.0,0.10153374233128834,0.004153074027603513,0.03955072290596248,0.6012269938650306,0.024592220828105395,0.23419763412594097,0.05184049079754601,0.002120451693851945,0.02019357151392042,0.23742331288343557,0.00971141781681305,0.09248416776197874,79700.0
407,SALICYLANILIDE,0.0,0.0,0.0,0.0,0.0,376.0,16.0,61.0,2.0,8.0,1949.0,1071.0,3770.0,0.0425531914893617,0.004244031830238726,0.014939309056956116,0.1622340425531915,0.016180371352785147,0.05695611577964519,0.005319148936170213,0.0005305039787798408,0.0018674136321195146,0.02127659574468085,0.002122015915119363,0.007469654528478058,3770.0
408,DDT,1.0,0.0,0.0,0.0,0.0,17400.0,1180.0,2390.0,304.0,1600.0,1945.0,9024.0,746000.0,0.067816091954023,0.001581769436997319,0.13076241134751773,0.13735632183908045,0.0032037533512064343,0.26484929078014185,0.01747126436781609,0.0004075067024128686,0.03368794326241135,0.09195402298850575,0.0021447721179624667,0.1773049645390071,746000.0
409,MEPHENYTOIN,3.0,0.0,0.0,0.0,0.0,7920.0,4820.0,6770.0,2810.0,5280.0,1968.0,887.0,13900.0,0.6085858585858586,0.34676258992805753,5.434047350620068,0.8547979797979798,0.4870503597122302,7.6324689966178125,0.3547979797979798,0.20215827338129497,3.167981961668546,0.6666666666666666,0.37985611510791367,5.952649379932356,13900.0
410,THIOURACIL,0.0,0.0,0.0,0.0,0.0,1490.0,72.0,204.0,25.0,53.0,1947.0,3819.0,55200.0,0.04832214765100671,0.0013043478260869566,0.018853102906520033,0.13691275167785236,0.0036956521739130435,0.05341712490180676,0.016778523489932886,0.0004528985507246377,0.006546216286986122,0.03557046979865772,0.0009601449275362319,0.013877978528410578,55200.0
411,OCTODRINE,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,1982.0,10.0,175.0,0.0,0.0,0.0,0.42857142857142855,0.017142857142857144,0.3,0.0,0.0,0.0,0.0,0.0,0.0,175.0
412,TRIMETHADIONE,3.0,0.0,1.0,0.0,1.0,456.0,129.0,196.0,53.0,112.0,1963.0,270.0,4790.0,0.28289473684210525,0.026931106471816284,0.4777777777777778,0.4298245614035088,0.04091858037578288,0.725925925925926,0.1162280701754386,0.011064718162839248,0.1962962962962963,0.24561403508771928,0.02338204592901879,0.4148148148148148,4790.0
413,SULFISOXAZOLE,0.0,0.0,0.0,0.0,0.0,424.0,76.0,155.0,38.0,89.0,1963.0,723.0,15400.0,0.1792452830188679,0.0049350649350649355,0.10511756569847856,0.36556603773584906,0.010064935064935065,0.2143845089903181,0.08962264150943396,0.0024675324675324677,0.05255878284923928,0.2099056603773585,0.005779220779220779,0.12309820193637622,15400.0
414,ETAFEDRINE,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1976.0,3.0,147.0,0.0,0.0,0.0,0.5,0.006802721088435374,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,147.0
415,VITAMIN K5,0.0,0.0,0.0,0.0,0.0,20600.0,9170.0,17000.0,3900.0,10800.0,1965.0,39.0,10600.0,0.4451456310679612,0.8650943396226415,235.12820512820514,0.8252427184466019,1.6037735849056605,435.8974358974359,0.18932038834951456,0.36792452830188677,100.0,0.5242718446601942,1.0188679245283019,276.9230769230769,10600.0
416,CETYLPYRIDINIUM ,0.0,0.0,0.0,0.0,0.0,743.0,28.0,75.0,6.0,28.0,1965.0,1669.0,39500.0,0.03768506056527591,0.0007088607594936709,0.016776512881965248,0.1009421265141319,0.0018987341772151898,0.04493708807669263,0.008075370121130552,0.0001518987341772152,0.0035949670461354103,0.03768506056527591,0.0007088607594936709,0.016776512881965248,39500.0
417,VOXELOTOR,4.0,0.0,1.0,0.0,1.0,26.0,9.0,24.0,5.0,9.0,2006.0,36.0,493.0,0.34615384615384615,0.018255578093306288,0.25,0.9230769230769231,0.0486815415821501,0.6666666666666666,0.19230769230769232,0.010141987829614604,0.1388888888888889,0.34615384615384615,0.018255578093306288,0.25,493.0
418,LASMIDITAN,0.0,0.0,0.0,0.0,0.0,33.0,9.0,41.0,6.0,14.0,2006.0,95.0,861.0,0.2727272727272727,0.010452961672473868,0.09473684210526316,1.2424242424242424,0.047619047619047616,0.43157894736842106,0.18181818181818182,0.006968641114982578,0.06315789473684211,0.42424242424242425,0.016260162601626018,0.14736842105263157,861.0
419,LEFAMULIN,1.0,0.0,1.0,0.0,0.0,55.0,10.0,44.0,6.0,10.0,2006.0,54.0,715.0,0.18181818181818182,0.013986013986013986,0.18518518518518517,0.8,0.06153846153846154,0.8148148148148148,0.10909090909090909,0.008391608391608392,0.1111111111111111,0.18181818181818182,0.013986013986013986,0.18518518518518517,715.0
420,PITOLISANT,2.0,0.0,1.0,0.0,0.0,76.0,24.0,65.0,6.0,19.0,2006.0,115.0,1360.0,0.3157894736842105,0.01764705882352941,0.20869565217391303,0.8552631578947368,0.04779411764705882,0.5652173913043478,0.07894736842105263,0.004411764705882353,0.05217391304347826,0.25,0.013970588235294118,0.16521739130434782,1360.0
421,BALOXAVIR,0.0,0.0,0.0,0.0,0.0,2310.0,376.0,1060.0,216.0,424.0,2006.0,154.0,1910.0,0.16277056277056276,0.1968586387434555,2.4415584415584415,0.4588744588744589,0.5549738219895288,6.883116883116883,0.09350649350649351,0.1130890052356021,1.4025974025974026,0.18354978354978355,0.22198952879581152,2.7532467532467533,1910.0
422,FLUTICASONE FUROATE,1.0,0.0,1.0,0.0,0.0,688.0,127.0,438.0,69.0,136.0,2007.0,378.0,10300.0,0.18459302325581395,0.01233009708737864,0.335978835978836,0.6366279069767442,0.04252427184466019,1.1587301587301588,0.1002906976744186,0.006699029126213592,0.18253968253968253,0.19767441860465115,0.01320388349514563,0.35978835978835977,10300.0
423,OXALIPLATIN,0.0,0.0,0.0,0.0,0.0,7070.0,1410.0,2990.0,443.0,1480.0,1980.0,12071.0,131000.0,0.19943422913719944,0.010763358778625954,0.11680888078866705,0.4229137199434229,0.02282442748091603,0.2477011018142656,0.06265912305516266,0.003381679389312977,0.036699527793886175,0.20933521923620935,0.011297709923664122,0.12260790323916826,131000.0
424,LEVALBUTEROL,0.0,0.0,0.0,0.0,0.0,105.0,32.0,80.0,15.0,36.0,1998.0,124.0,3680.0,0.3047619047619048,0.008695652173913044,0.25806451612903225,0.7619047619047619,0.021739130434782608,0.6451612903225806,0.14285714285714285,0.004076086956521739,0.12096774193548387,0.34285714285714286,0.009782608695652175,0.2903225806451613,3680.0
425,SIROLIMUS,1.0,0.0,1.0,0.0,0.0,6570.0,2580.0,5350.0,1750.0,4570.0,1983.0,20501.0,155000.0,0.3926940639269406,0.01664516129032258,0.12584751963318863,0.8143074581430746,0.034516129032258064,0.26096287985951905,0.2663622526636225,0.01129032258064516,0.08536168967367445,0.69558599695586,0.029483870967741934,0.2229159553192527,155000.0
426,TAFAMIDIS,0.0,0.0,0.0,0.0,0.0,75.0,4.0,22.0,4.0,7.0,2010.0,226.0,3380.0,0.05333333333333334,0.001183431952662722,0.017699115044247787,0.29333333333333333,0.00650887573964497,0.09734513274336283,0.05333333333333334,0.001183431952662722,0.017699115044247787,0.09333333333333334,0.0020710059171597634,0.030973451327433628,3380.0
427,AFAMELANOTIDE,0.0,0.0,0.0,0.0,0.0,54.0,10.0,10.0,2.0,4.0,1993.0,49.0,913.0,0.18518518518518517,0.01095290251916758,0.20408163265306123,0.18518518518518517,0.01095290251916758,0.20408163265306123,0.037037037037037035,0.002190580503833516,0.04081632653061224,0.07407407407407407,0.004381161007667032,0.08163265306122448,913.0
428,SIPONIMOD,2.0,0.0,1.0,0.0,1.0,102.0,23.0,57.0,16.0,37.0,2006.0,131.0,2510.0,0.22549019607843138,0.009163346613545816,0.17557251908396945,0.5588235294117647,0.022709163346613544,0.4351145038167939,0.1568627450980392,0.006374501992031873,0.12213740458015267,0.3627450980392157,0.014741035856573706,0.2824427480916031,2510.0
429,PRETOMANID,2.0,0.0,1.0,0.0,0.0,257.0,20.0,124.0,24.0,21.0,2000.0,208.0,1800.0,0.07782101167315175,0.011111111111111112,0.09615384615384616,0.48249027237354086,0.06888888888888889,0.5961538461538461,0.0933852140077821,0.013333333333333334,0.11538461538461539,0.08171206225680934,0.011666666666666667,0.10096153846153846,1800.0
430,ISTRADEFYLLINE,6.0,0.0,1.0,1.0,1.0,140.0,44.0,75.0,14.0,25.0,1998.0,215.0,2230.0,0.3142857142857143,0.019730941704035873,0.20465116279069767,0.5357142857142857,0.033632286995515695,0.3488372093023256,0.1,0.006278026905829596,0.06511627906976744,0.17857142857142858,0.011210762331838564,0.11627906976744186,2230.0
431,SELINEXOR,2.0,0.0,1.0,0.0,0.0,95.0,13.0,28.0,7.0,10.0,2006.0,204.0,2760.0,0.1368421052631579,0.004710144927536232,0.06372549019607843,0.29473684210526313,0.010144927536231883,0.13725490196078433,0.07368421052631578,0.002536231884057971,0.03431372549019608,0.10526315789473684,0.0036231884057971015,0.049019607843137254,2760.0
432,DAROLUTAMIDE,1.0,0.0,1.0,0.0,0.0,91.0,19.0,66.0,28.0,33.0,2014.0,102.0,3010.0,0.2087912087912088,0.006312292358803987,0.18627450980392157,0.7252747252747253,0.021926910299003323,0.6470588235294118,0.3076923076923077,0.009302325581395349,0.27450980392156865,0.3626373626373626,0.010963455149501661,0.3235294117647059,3010.0
433,BREMELANOTIDE,0.0,0.0,0.0,0.0,0.0,29.0,1.0,10.0,2.0,5.0,2003.0,53.0,1030.0,0.034482758620689655,0.000970873786407767,0.018867924528301886,0.3448275862068966,0.009708737864077669,0.18867924528301888,0.06896551724137931,0.001941747572815534,0.03773584905660377,0.1724137931034483,0.0048543689320388345,0.09433962264150944,1030.0
434,PRUCALOPRIDE,1.0,0.0,1.0,0.0,0.0,125.0,23.0,97.0,8.0,24.0,1999.0,355.0,4470.0,0.184,0.005145413870246085,0.0647887323943662,0.776,0.021700223713646532,0.27323943661971833,0.064,0.0017897091722595079,0.022535211267605635,0.192,0.005369127516778523,0.0676056338028169,4470.0
435,MIGALASTAT,0.0,0.0,0.0,0.0,0.0,71.0,5.0,23.0,2.0,5.0,1994.0,136.0,1280.0,0.07042253521126761,0.00390625,0.03676470588235294,0.323943661971831,0.01796875,0.16911764705882354,0.028169014084507043,0.0015625,0.014705882352941176,0.07042253521126761,0.00390625,0.03676470588235294,1280.0
436,STIRIPENTOL,6.0,1.0,1.0,0.0,1.0,459.0,170.0,355.0,102.0,213.0,1982.0,279.0,4280.0,0.37037037037037035,0.0397196261682243,0.6093189964157706,0.7734204793028322,0.08294392523364486,1.2724014336917562,0.2222222222222222,0.02383177570093458,0.3655913978494624,0.46405228758169936,0.049766355140186916,0.7634408602150538,4280.0
437,SEGESTERONE,1.0,0.0,1.0,0.0,0.0,11.0,5.0,12.0,2.0,6.0,2006.0,23.0,185.0,0.45454545454545453,0.02702702702702703,0.21739130434782608,1.0909090909090908,0.06486486486486487,0.5217391304347826,0.18181818181818182,0.010810810810810811,0.08695652173913043,0.5454545454545454,0.032432432432432434,0.2608695652173913,185.0
438,MOXIDECTIN,5.0,0.0,1.0,0.0,1.0,498.0,67.0,265.0,21.0,46.0,1980.0,1051.0,12500.0,0.13453815261044177,0.00536,0.06374881065651761,0.5321285140562249,0.0212,0.2521408182683159,0.04216867469879518,0.00168,0.019980970504281638,0.09236947791164658,0.00368,0.04376784015223597,12500.0
439,ERAVACYCLINE,2.0,0.0,0.0,0.0,0.0,68.0,11.0,45.0,8.0,9.0,2006.0,148.0,2360.0,0.16176470588235295,0.004661016949152543,0.07432432432432433,0.6617647058823529,0.019067796610169493,0.30405405405405406,0.11764705882352941,0.003389830508474576,0.05405405405405406,0.1323529411764706,0.0038135593220338985,0.060810810810810814,2360.0
440,OMADACYCLINE,0.0,0.0,0.0,0.0,0.0,102.0,18.0,71.0,12.0,15.0,2006.0,136.0,2860.0,0.17647058823529413,0.006293706293706294,0.1323529411764706,0.696078431372549,0.024825174825174826,0.5220588235294118,0.11764705882352941,0.004195804195804196,0.08823529411764706,0.14705882352941177,0.005244755244755245,0.11029411764705882,2860.0
441,PLAZOMICIN,0.0,0.0,0.0,0.0,0.0,78.0,10.0,28.0,4.0,8.0,2006.0,145.0,1830.0,0.1282051282051282,0.00546448087431694,0.06896551724137931,0.358974358974359,0.015300546448087432,0.19310344827586207,0.05128205128205128,0.002185792349726776,0.027586206896551724,0.10256410256410256,0.004371584699453552,0.05517241379310345,1830.0
442,LATANOPROST ACID,0.0,0.0,0.0,0.0,0.0,423.0,52.0,179.0,34.0,57.0,1993.0,173.0,6860.0,0.12293144208037825,0.007580174927113703,0.30057803468208094,0.4231678486997636,0.0260932944606414,1.0346820809248556,0.08037825059101655,0.004956268221574344,0.19653179190751446,0.1347517730496454,0.008309037900874635,0.32947976878612717,6860.0
443,NBI-98782,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2017.0,2.0,26.0,0.0,0.0,0.0,0.5,0.038461538461538464,0.5,0.0,0.0,0.0,0.5,0.038461538461538464,0.5,26.0
444,AR-13503,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,40.0
445,NALDEMEDINE,2.0,0.0,1.0,0.0,0.0,47.0,11.0,44.0,7.0,16.0,2012.0,68.0,540.0,0.23404255319148937,0.020370370370370372,0.16176470588235295,0.9361702127659575,0.08148148148148149,0.6470588235294118,0.14893617021276595,0.012962962962962963,0.10294117647058823,0.3404255319148936,0.02962962962962963,0.23529411764705882,540.0
446,UMECLIDINIUM,3.0,0.0,1.0,0.0,0.0,75.0,13.0,72.0,15.0,19.0,2006.0,237.0,2810.0,0.17333333333333334,0.004626334519572953,0.05485232067510549,0.96,0.025622775800711744,0.3037974683544304,0.2,0.005338078291814947,0.06329113924050633,0.25333333333333335,0.006761565836298933,0.08016877637130802,2810.0
447,FLUTEMETAMOL F-18,1.0,0.0,0.0,0.0,0.0,27.0,0.0,5.0,0.0,0.0,2004.0,231.0,1290.0,0.0,0.0,0.0,0.18518518518518517,0.003875968992248062,0.021645021645021644,0.0,0.0,0.0,0.0,0.0,0.0,1290.0
448,CANAGLIFLOZIN,0.0,0.0,0.0,0.0,0.0,501.0,79.0,321.0,126.0,140.0,2006.0,1135.0,16300.0,0.15768463073852296,0.004846625766871166,0.06960352422907488,0.6407185628742516,0.01969325153374233,0.2828193832599119,0.25149700598802394,0.007730061349693252,0.11101321585903083,0.27944111776447106,0.008588957055214725,0.12334801762114538,16300.0
449,ALOGLIPTIN,2.0,0.0,1.0,0.0,0.0,463.0,70.0,377.0,122.0,122.0,2006.0,509.0,9460.0,0.1511879049676026,0.007399577167019027,0.137524557956778,0.8142548596112311,0.03985200845665962,0.7406679764243614,0.2634989200863931,0.012896405919661734,0.23968565815324164,0.2634989200863931,0.012896405919661734,0.23968565815324164,9460.0
450,MONOMETHYL FUMARATE,0.0,0.0,0.0,0.0,0.0,6830.0,212.0,787.0,104.0,195.0,1998.0,97.0,4380.0,0.031039531478770133,0.048401826484018265,2.185567010309278,0.11522693997071742,0.17968036529680365,8.11340206185567,0.015226939970717423,0.023744292237442923,1.0721649484536082,0.02855051244509517,0.04452054794520548,2.0103092783505154,4380.0
452,INGENOL MEBUTATE,0.0,0.0,0.0,0.0,0.0,128.0,4.0,45.0,3.0,6.0,2004.0,307.0,2770.0,0.03125,0.001444043321299639,0.013029315960912053,0.3515625,0.016245487364620937,0.1465798045602606,0.0234375,0.0010830324909747292,0.009771986970684038,0.046875,0.0021660649819494585,0.019543973941368076,2770.0
453,OMACETAXINE,0.0,0.0,0.0,0.0,0.0,139.0,20.0,84.0,17.0,24.0,1975.0,568.0,2850.0,0.14388489208633093,0.007017543859649123,0.035211267605633804,0.60431654676259,0.029473684210526315,0.14788732394366197,0.1223021582733813,0.0059649122807017545,0.02992957746478873,0.17266187050359713,0.008421052631578947,0.04225352112676056,2850.0
454,COBICISTAT,2.0,0.0,1.0,0.0,0.0,1260.0,339.0,1270.0,269.0,441.0,2006.0,516.0,9330.0,0.26904761904761904,0.036334405144694534,0.6569767441860465,1.007936507936508,0.13612004287245444,2.4612403100775193,0.21349206349206348,0.028831725616291534,0.5213178294573644,0.35,0.047266881028938904,0.8546511627906976,9330.0
455,MIRABEGRON,2.0,0.0,1.0,0.0,0.0,260.0,69.0,213.0,47.0,77.0,2006.0,551.0,5760.0,0.2653846153846154,0.011979166666666667,0.12522686025408347,0.8192307692307692,0.03697916666666667,0.38656987295825773,0.18076923076923077,0.008159722222222223,0.0852994555353902,0.29615384615384616,0.013368055555555555,0.1397459165154265,5760.0
456,TAFLUPROST,0.0,0.0,0.0,0.0,0.0,70.0,4.0,35.0,3.0,5.0,2003.0,231.0,2630.0,0.05714285714285714,0.001520912547528517,0.017316017316017316,0.5,0.013307984790874524,0.15151515151515152,0.04285714285714286,0.0011406844106463879,0.012987012987012988,0.07142857142857142,0.0019011406844106464,0.021645021645021644,2630.0
457,AVANAFIL,2.0,0.0,1.0,0.0,1.0,158.0,45.0,125.0,36.0,60.0,2004.0,110.0,2390.0,0.2848101265822785,0.01882845188284519,0.4090909090909091,0.7911392405063291,0.05230125523012552,1.1363636363636365,0.22784810126582278,0.01506276150627615,0.32727272727272727,0.379746835443038,0.02510460251046025,0.5454545454545454,2390.0
458,ACLIDINIUM,0.0,0.0,0.0,0.0,0.0,76.0,17.0,61.0,15.0,18.0,2006.0,209.0,3110.0,0.2236842105263158,0.005466237942122186,0.08133971291866028,0.8026315789473685,0.019614147909967846,0.291866028708134,0.19736842105263158,0.00482315112540193,0.07177033492822966,0.23684210526315788,0.005787781350482315,0.0861244019138756,3110.0
459,PERAMPANEL,1.0,0.0,0.0,0.0,0.0,327.0,88.0,249.0,64.0,139.0,1993.0,542.0,5810.0,0.2691131498470948,0.015146299483648882,0.16236162361623616,0.7614678899082569,0.04285714285714286,0.45940959409594095,0.19571865443425077,0.011015490533562823,0.11808118081180811,0.42507645259938837,0.023924268502581756,0.2564575645756458,5810.0
460,ICOSAPENT,0.0,0.0,0.0,0.0,0.0,128.0,6.0,70.0,15.0,30.0,1967.0,11695.0,3870.0,0.046875,0.0015503875968992248,0.000513039760581445,0.546875,0.01808785529715762,0.005985463873450192,0.1171875,0.003875968992248062,0.0012825994014536127,0.234375,0.007751937984496124,0.0025651988029072254,3870.0
462,VIGABATRIN,0.0,0.0,0.0,0.0,0.0,1220.0,327.0,748.0,166.0,414.0,1977.0,2071.0,28900.0,0.2680327868852459,0.011314878892733565,0.15789473684210525,0.6131147540983607,0.02588235294117647,0.36117817479478515,0.1360655737704918,0.005743944636678201,0.08015451472718493,0.33934426229508197,0.014325259515570935,0.19990342829550942,28900.0
463,PAZOPANIB,3.0,1.0,1.0,1.0,0.0,1340.0,347.0,980.0,338.0,357.0,2006.0,1740.0,18900.0,0.258955223880597,0.01835978835978836,0.19942528735632184,0.7313432835820896,0.05185185185185185,0.5632183908045977,0.25223880597014925,0.017883597883597883,0.19425287356321838,0.2664179104477612,0.01888888888888889,0.20517241379310344,18900.0
464,LEVOMILNACIPRAN,5.0,0.0,1.0,1.0,0.0,255.0,88.0,159.0,39.0,83.0,2006.0,87.0,1530.0,0.34509803921568627,0.05751633986928104,1.0114942528735633,0.6235294117647059,0.10392156862745099,1.8275862068965518,0.15294117647058825,0.025490196078431372,0.4482758620689655,0.3254901960784314,0.0542483660130719,0.9540229885057471,1530.0
465,BEPOTASTINE,0.0,0.0,0.0,0.0,0.0,721.0,16.0,699.0,8.0,667.0,1997.0,69.0,1720.0,0.022191400832177532,0.009302325581395349,0.2318840579710145,0.9694868238557559,0.4063953488372093,10.130434782608695,0.011095700416088766,0.004651162790697674,0.11594202898550725,0.9251040221914009,0.3877906976744186,9.666666666666666,1720.0
466,PRASUGREL,4.0,0.0,1.0,0.0,1.0,2000.0,746.0,1750.0,367.0,1090.0,2000.0,2217.0,27900.0,0.373,0.026738351254480288,0.33649075327018496,0.875,0.06272401433691756,0.7893549842129003,0.1835,0.013154121863799283,0.16553901668921966,0.545,0.03906810035842294,0.4916553901668922,27900.0
467,FEBUXOSTAT,4.0,1.0,0.0,1.0,1.0,539.0,115.0,283.0,75.0,142.0,1993.0,896.0,10400.0,0.21335807050092764,0.011057692307692308,0.12834821428571427,0.5250463821892394,0.02721153846153846,0.3158482142857143,0.1391465677179963,0.007211538461538462,0.08370535714285714,0.2634508348794063,0.013653846153846154,0.15848214285714285,10400.0
468,ARTEMETHER,4.0,0.0,0.0,0.0,1.0,1690.0,305.0,847.0,242.0,315.0,1983.0,2148.0,33400.0,0.1804733727810651,0.009131736526946108,0.1419925512104283,0.5011834319526627,0.02535928143712575,0.39432029795158285,0.14319526627218934,0.007245508982035928,0.11266294227188083,0.1863905325443787,0.009431137724550898,0.14664804469273743,33400.0
